Name,Status,Native,population_1996,population_2006,population_2017,population_2023
Sānt Kātirīn,Kism urban and rural parts,قسم سانت كاترين,4219.0,5705.0,4542.0,4881.0
Sharm ash-Shaykh 1,Kism fully urban,قسم أول شرم الشيخ,7410.0,69374.0,13201.0,13616.0
Sharm ash-Shaykh 2,Kism urban and rural parts,قسم ثان شرم الشيخ,537638.5612903226,556560.2875647668,1441.0,1569.0
Shurṭah Ṭābā,Kism fully rural,قسم شرطة طابا,537638.5612903226,3080.0,715.0,821.0
Sīnā' ash-Shamāliyah,Governorate,شمال سيناء,252160.0,343681.0,450328.0,508109.0
Al-'Arīsh 1,Kism urban and rural parts,قسم أول العريش,25554.0,41177.0,55673.0,60606.0
Al-'Arīsh 2,Kism fully urban,قسم ثان العريش,41121.0,48060.0,65578.0,71298.0
Al-'Arīsh 3,Kism fully urban,قسم ثالث العريش,18328.0,32255.0,44146.0,47998.0
Al-'Arīsh 4,Kism urban and rural parts,قسم رابع العريش,15479.0,20006.0,27075.0,29538.0
Al-Ḥasanah,Kism urban and rural parts,قسم الحسنة,12944.0,13835.0,8490.0,21414.0
Ash-Shaykh Zuwayd,Kism urban and rural parts,قسم الشيخ زويد,34169.0,45696.0,59931.0,66525.0
B'īr al-'Abd,Kism urban and rural parts,قسم بئر العبد,26457.0,33788.0,55311.0,61338.0
Nakhl,Kism urban and rural parts,قسم نخل,8983.0,11023.0,6026.0,6722.0
Rafaḥ,Kism urban and rural parts,قسم رفح,44422.0,58615.0,75537.0,83456.0
Shurṭah al-Qasīmah,Kism fully rural,قسم شرطة القسيمة,12047.0,9681.0,11951.0,13463.0
Shurṭah Rumānah,Kism fully rural,قسم شرطة رمانة,12656.0,29545.0,40610.0,45751.0
Miṣr,Republic,مِصر,59276672.0,72798031.0,94798827.0,105174090.0
